Date,Description,Amount
1/31/25,Marketplace payout 2025-01,-5638.6
2/28/25,Marketplace payout 2025-02,-6348.8
3/31/25,Marketplace payout 2025-03,-6410.2
4/30/25,Marketplace payout 2025-04,-6750.8
5/31/25,Marketplace payout 2025-05,-8359.2
6/30/25,Marketplace payout 2025-06,-7900.8
7/31/25,Marketplace payout 2025-07,-11582.6
8/31/25,Marketplace payout 2025-08,-9402.4
9/30/25,Marketplace payout 2025-09,-6168.4
10/31/25,Marketplace payout 2025-10,-6987.1
11/30/25,Marketplace payout 2025-11,-4992.8
12/31/25,Marketplace payout 2025-12,-4128.9
