Date,Description,Amount
1/31/26,Product Charges,13200
1/31/26,Refunds,-660
1/31/26,ShippingCharge,145.2
1/31/26,Commission,-1980
1/31/26,FBAPerUnitFulfillmentFee,-2772
1/31/26,FBAStorageFee,-131
1/31/26,MarketplaceFacilitatorVAT-Principal,0
1/31/26,MiscAdjustment,0
2/28/26,Product Charges,11600
2/28/26,Refunds,-580
2/28/26,ShippingCharge,127.6
2/28/26,Commission,-1740
2/28/26,FBAPerUnitFulfillmentFee,-2436
2/28/26,FBAStorageFee,-142
2/28/26,MarketplaceFacilitatorVAT-Principal,0
2/28/26,MiscAdjustment,0
3/31/26,Product Charges,7600
3/31/26,Refunds,-380
3/31/26,ShippingCharge,83.6
3/31/26,Commission,-1140
3/31/26,FBAPerUnitFulfillmentFee,-1710
3/31/26,FBAStorageFee,-153
3/31/26,MarketplaceFacilitatorVAT-Principal,0
3/31/26,MiscAdjustment,0
4/30/26,Product Charges,4100
4/30/26,Refunds,-266.5
4/30/26,ShippingCharge,45.1
4/30/26,Commission,-615
4/30/26,FBAPerUnitFulfillmentFee,-861
4/30/26,FBAStorageFee,-164
4/30/26,MarketplaceFacilitatorVAT-Principal,0
4/30/26,MiscAdjustment,0
5/31/26,Product Charges,6900
5/31/26,Refunds,-345
5/31/26,ShippingCharge,75.9
5/31/26,Commission,-1035
5/31/26,FBAPerUnitFulfillmentFee,-1449
5/31/26,FBAStorageFee,-175
5/31/26,MarketplaceFacilitatorVAT-Principal,0
5/31/26,MiscAdjustment,0
6/30/26,Product Charges,9200
6/30/26,Refunds,-460
6/30/26,ShippingCharge,101.2
6/30/26,Commission,-1380
6/30/26,FBAPerUnitFulfillmentFee,-2070
6/30/26,FBAStorageFee,-186
6/30/26,MarketplaceFacilitatorVAT-Principal,0
6/30/26,MiscAdjustment,0
7/31/26,Product Charges,10100
7/31/26,Refunds,-505
7/31/26,ShippingCharge,111.1
7/31/26,Commission,-1515
7/31/26,FBAPerUnitFulfillmentFee,-2121
7/31/26,FBAStorageFee,-197
7/31/26,MarketplaceFacilitatorVAT-Principal,0
7/31/26,MiscAdjustment,0
8/31/26,Product Charges,3600
8/31/26,Refunds,-234
8/31/26,ShippingCharge,39.6
8/31/26,Commission,-540
8/31/26,FBAPerUnitFulfillmentFee,-756
8/31/26,FBAStorageFee,-208
8/31/26,MiscPlatformFee,-75
8/31/26,MarketplaceFacilitatorVAT-Principal,0
8/31/26,MiscAdjustment,0
