Split ID,Transaction ID,Chart Account ID,Amount Minor,Amount,Memo
split-0001,txn-0001,ca-online-sales,960000,9600.00,
split-0002,txn-0002,ca-sales-returns,-48000,-480.00,
split-0003,txn-0003,ca-shipping-income,10560,105.60,
split-0004,txn-0004,ca-commission-fees,-144000,-1440.00,
split-0005,txn-0005,ca-fulfillment-fees,-201600,-2016.00,
split-0006,txn-0006,ca-storage-fees,-13100,-131.00,
split-0007,txn-0009,ca-online-sales,1080000,10800.00,
split-0008,txn-0010,ca-sales-returns,-54000,-540.00,
split-0009,txn-0011,ca-shipping-income,11880,118.80,
split-0010,txn-0012,ca-commission-fees,-162000,-1620.00,
split-0011,txn-0013,ca-fulfillment-fees,-226800,-2268.00,
split-0012,txn-0014,ca-storage-fees,-14200,-142.00,
split-0013,txn-0017,ca-online-sales,1120000,11200.00,
split-0014,txn-0018,ca-sales-returns,-56000,-560.00,
split-0015,txn-0019,ca-shipping-income,12320,123.20,
split-0016,txn-0020,ca-commission-fees,-168000,-1680.00,
split-0017,txn-0021,ca-fulfillment-fees,-252000,-2520.00,
split-0018,txn-0022,ca-storage-fees,-15300,-153.00,
split-0019,txn-0025,ca-online-sales,1180000,11800.00,
split-0020,txn-0026,ca-sales-returns,-76700,-767.00,
split-0021,txn-0027,ca-shipping-income,12980,129.80,
split-0022,txn-0028,ca-commission-fees,-177000,-1770.00,
split-0023,txn-0029,ca-fulfillment-fees,-247800,-2478.00,
split-0024,txn-0030,ca-storage-fees,-16400,-164.00,
split-0025,txn-0033,ca-online-sales,1420000,14200.00,
split-0026,txn-0034,ca-sales-returns,-71000,-710.00,
split-0027,txn-0035,ca-shipping-income,15620,156.20,
split-0028,txn-0036,ca-commission-fees,-213000,-2130.00,
split-0029,txn-0037,ca-fulfillment-fees,-298200,-2982.00,
split-0030,txn-0038,ca-storage-fees,-17500,-175.00,
split-0031,txn-0041,ca-online-sales,1380000,13800.00,
split-0032,txn-0042,ca-sales-returns,-69000,-690.00,
split-0033,txn-0043,ca-shipping-income,15180,151.80,
split-0034,txn-0044,ca-commission-fees,-207000,-2070.00,
split-0035,txn-0045,ca-fulfillment-fees,-310500,-3105.00,
split-0036,txn-0046,ca-storage-fees,-18600,-186.00,
split-0037,txn-0049,ca-online-sales,1960000,19600.00,
split-0038,txn-0050,ca-sales-returns,-98000,-980.00,
split-0039,txn-0051,ca-shipping-income,21560,215.60,
split-0040,txn-0052,ca-commission-fees,-294000,-2940.00,
split-0041,txn-0053,ca-fulfillment-fees,-411600,-4116.00,
split-0042,txn-0054,ca-storage-fees,-19700,-197.00,
split-0043,txn-0057,ca-online-sales,1640000,16400.00,
split-0044,txn-0058,ca-sales-returns,-106600,-1066.00,
split-0045,txn-0059,ca-shipping-income,18040,180.40,
split-0046,txn-0060,ca-commission-fees,-246000,-2460.00,
split-0047,txn-0061,ca-fulfillment-fees,-344400,-3444.00,
split-0048,txn-0062,ca-storage-fees,-20800,-208.00,
split-0049,txn-0065,ca-online-sales,1090000,10900.00,
split-0050,txn-0066,ca-sales-returns,-54500,-545.00,
split-0051,txn-0067,ca-shipping-income,11990,119.90,
split-0052,txn-0068,ca-commission-fees,-163500,-1635.00,
split-0053,txn-0069,ca-fulfillment-fees,-245250,-2452.50,
split-0054,txn-0070,ca-storage-fees,-21900,-219.00,
split-0055,txn-0073,ca-online-sales,1210000,12100.00,
split-0056,txn-0074,ca-sales-returns,-60500,-605.00,
split-0057,txn-0075,ca-shipping-income,13310,133.10,
split-0058,txn-0076,ca-commission-fees,-181500,-1815.00,
split-0059,txn-0077,ca-fulfillment-fees,-254100,-2541.00,
split-0060,txn-0078,ca-storage-fees,-28500,-285.00,
split-0061,txn-0081,ca-online-sales,880000,8800.00,
split-0062,txn-0082,ca-sales-returns,-44000,-440.00,
split-0063,txn-0083,ca-shipping-income,9680,96.80,
split-0064,txn-0084,ca-commission-fees,-132000,-1320.00,
split-0065,txn-0085,ca-fulfillment-fees,-184800,-1848.00,
split-0066,txn-0086,ca-storage-fees,-29600,-296.00,
split-0067,txn-0089,ca-online-sales,790000,7900.00,
split-0068,txn-0090,ca-sales-returns,-51350,-513.50,
split-0069,txn-0091,ca-shipping-income,8690,86.90,
split-0070,txn-0092,ca-commission-fees,-118500,-1185.00,
split-0071,txn-0093,ca-fulfillment-fees,-177750,-1777.50,
split-0072,txn-0094,ca-storage-fees,-30700,-307.00,
split-0073,txn-0095,ca-platform-fees-parent,-7500,-75.00,
split-0074,txn-0098,ca-online-sales,1320000,13200.00,
split-0075,txn-0099,ca-sales-returns,-66000,-660.00,
split-0076,txn-0100,ca-shipping-income,14520,145.20,
split-0077,txn-0101,ca-commission-fees,-198000,-1980.00,
split-0078,txn-0102,ca-fulfillment-fees,-277200,-2772.00,
split-0079,txn-0103,ca-storage-fees,-13100,-131.00,
split-0080,txn-0106,ca-online-sales,1160000,11600.00,
split-0081,txn-0107,ca-sales-returns,-58000,-580.00,
split-0082,txn-0108,ca-shipping-income,12760,127.60,
split-0083,txn-0109,ca-commission-fees,-174000,-1740.00,
split-0084,txn-0110,ca-fulfillment-fees,-243600,-2436.00,
split-0085,txn-0111,ca-storage-fees,-14200,-142.00,
split-0086,txn-0114,ca-online-sales,760000,7600.00,
split-0087,txn-0115,ca-sales-returns,-38000,-380.00,
split-0088,txn-0116,ca-shipping-income,8360,83.60,
split-0089,txn-0117,ca-commission-fees,-114000,-1140.00,
split-0090,txn-0118,ca-fulfillment-fees,-171000,-1710.00,
split-0091,txn-0119,ca-storage-fees,-15300,-153.00,
split-0092,txn-0122,ca-online-sales,410000,4100.00,
split-0093,txn-0123,ca-sales-returns,-26650,-266.50,
split-0094,txn-0124,ca-shipping-income,4510,45.10,
split-0095,txn-0125,ca-commission-fees,-61500,-615.00,
split-0096,txn-0126,ca-fulfillment-fees,-86100,-861.00,
split-0097,txn-0127,ca-storage-fees,-16400,-164.00,
split-0098,txn-0130,ca-online-sales,690000,6900.00,
split-0099,txn-0131,ca-sales-returns,-34500,-345.00,
split-0100,txn-0132,ca-shipping-income,7590,75.90,
split-0101,txn-0133,ca-commission-fees,-103500,-1035.00,
split-0102,txn-0134,ca-fulfillment-fees,-144900,-1449.00,
split-0103,txn-0135,ca-storage-fees,-17500,-175.00,
split-0104,txn-0138,ca-online-sales,920000,9200.00,
split-0105,txn-0139,ca-sales-returns,-46000,-460.00,
split-0106,txn-0140,ca-shipping-income,10120,101.20,
split-0107,txn-0141,ca-commission-fees,-138000,-1380.00,
split-0108,txn-0142,ca-fulfillment-fees,-207000,-2070.00,
split-0109,txn-0143,ca-storage-fees,-18600,-186.00,
split-0110,txn-0146,ca-online-sales,1010000,10100.00,
split-0111,txn-0147,ca-sales-returns,-50500,-505.00,
split-0112,txn-0148,ca-shipping-income,11110,111.10,
split-0113,txn-0149,ca-commission-fees,-151500,-1515.00,
