Transaction ID,Account ID,Posting Date,Amount,Amount Minor,Description,State,Categorization Source,Transfer Match ID,Source File,Source Row,Created UTC,Modified UTC
txn-0001,fin-marketplace,2025-01-31,9600.00,960000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0002,fin-marketplace,2025-01-31,-480.00,-48000,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0003,fin-marketplace,2025-01-31,105.60,10560,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0004,fin-marketplace,2025-01-31,-1440.00,-144000,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0005,fin-marketplace,2025-01-31,-2016.00,-201600,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0006,fin-marketplace,2025-01-31,-131.00,-13100,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0007,fin-marketplace,2025-01-31,-5638.60,-563860,Marketplace payout 2025-01,MATCHED_TRANSFER,TRANSFER,transfer-0001,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0008,fin-bank-operating,2025-01-31,5638.60,563860,Marketplace deposit 2025-01,MATCHED_TRANSFER,TRANSFER,transfer-0001,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0009,fin-marketplace,2025-02-28,10800.00,1080000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0010,fin-marketplace,2025-02-28,-540.00,-54000,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0011,fin-marketplace,2025-02-28,118.80,11880,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0012,fin-marketplace,2025-02-28,-1620.00,-162000,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0013,fin-marketplace,2025-02-28,-2268.00,-226800,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0014,fin-marketplace,2025-02-28,-142.00,-14200,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0015,fin-marketplace,2025-02-28,-6348.80,-634880,Marketplace payout 2025-02,MATCHED_TRANSFER,TRANSFER,transfer-0002,imports/2025/marketplace-transfers.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0016,fin-bank-operating,2025-02-28,6348.80,634880,Marketplace deposit 2025-02,MATCHED_TRANSFER,TRANSFER,transfer-0002,imports/2025/operating-checking.xlsx,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0017,fin-marketplace,2025-03-31,11200.00,1120000,Product Charges,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0018,fin-marketplace,2025-03-31,-560.00,-56000,Refunds,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0019,fin-marketplace,2025-03-31,123.20,12320,ShippingCharge,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0020,fin-marketplace,2025-03-31,-1680.00,-168000,Commission,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0021,fin-marketplace,2025-03-31,-2520.00,-252000,FBAPerUnitFulfillmentFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
txn-0022,fin-marketplace,2025-03-31,-153.00,-15300,FBAStorageFee,POSTED,MANUAL,,imports/2025/marketplace-summary.csv,,2026-08-20T12:00:00.000Z,2026-08-20T12:00:00.000Z
