Transfer Match ID,Left Transaction ID,Right Transaction ID,Confidence,Rationale,Confirmed UTC
transfer-0001,txn-0007,txn-0008,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0002,txn-0015,txn-0016,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0003,txn-0023,txn-0024,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0004,txn-0031,txn-0032,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0005,txn-0039,txn-0040,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0006,txn-0047,txn-0048,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0007,txn-0055,txn-0056,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0008,txn-0063,txn-0064,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0009,txn-0071,txn-0072,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0010,txn-0079,txn-0080,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0011,txn-0087,txn-0088,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0012,txn-0096,txn-0097,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0013,txn-0104,txn-0105,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0014,txn-0112,txn-0113,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0015,txn-0120,txn-0121,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0016,txn-0128,txn-0129,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0017,txn-0136,txn-0137,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0018,txn-0144,txn-0145,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0019,txn-0152,txn-0153,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0020,txn-0161,txn-0162,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0021,txn-0165,txn-0166,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0022,txn-0171,txn-0172,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0023,txn-0173,txn-0174,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0024,txn-0187,txn-0188,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
transfer-0025,txn-0189,txn-0190,1,Synthetic equal-and-opposite transfer pair.,2026-08-20T12:00:00.000Z
